Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
1,3,male,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
0,3,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
1,1,female,1,0,0-8,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
0,1,female,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,2,male,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
1,3,female,1,0,9-20,S
0,3,male,1,0,0-8,S
1,1,female,1,0,41-80,C
1,3,female,0,0,0-8,S
1,1,female,1,0,41-80,S
0,3,male,0,0,9-20,S
0,3,male,0,0,9-20,Q
0,1,male,0,0,41-80,S
0,3,male,3,1,21-40,S
1,3,female,0,2,9-20,S
1,2,female,1,0,21-40,C
1,3,female,1,1,9-20,S
1,1,female,0,0,21-40,S
0,3,male,0,0,9-20,S
0,3,male,1,5,21-40,S
0,3,female,0,0,0-8,S
1,2,female,0,0,9-20,S
0,3,male,4,1,21-40,Q
1,2,male,0,0,9-20,S
0,3,female,1,0,9-20,S
1,3,female,0,0,0-8,C
0,2,male,0,0,21-40,S
1,2,male,0,0,9-20,S
1,3,female,0,0,9-20,Q
1,1,male,0,0,21-40,S
0,3,female,3,1,21-40,S
1,3,female,1,5,21-40,S
0,3,male,0,0,0-8,C
0,1,male,3,2,81-500,S
1,3,female,0,0,0-8,Q
0,3,male,0,0,0-8,S
0,1,male,0,0,21-40,C
1,1,female,1,0,81-500,C
1,3,female,0,0,0-8,Q
0,2,male,0,0,9-20,S
0,1,male,1,0,81-500,C
0,1,male,1,0,41-80,S
1,3,male,0,0,0-8,C
0,3,male,0,0,9-20,S
0,3,female,2,0,9-20,S
1,3,female,1,0,9-20,C
0,3,female,1,0,9-20,S
0,2,female,1,0,21-40,S
0,3,male,0,0,0-8,C
1,2,female,1,2,41-80,C
1,3,female,0,0,0-8,Q
0,3,male,0,0,9-20,S
0,3,male,1,0,9-20,Q
1,3,female,0,0,0-8,Q
0,3,male,2,0,21-40,C
0,3,female,1,0,9-20,S
0,3,male,4,1,21-40,S
0,3,male,0,0,0-8,S
1,1,female,1,0,41-80,C
1,2,female,1,0,21-40,S
0,1,male,0,1,41-80,C
1,1,male,0,0,21-40,S
1,2,female,0,0,9-20,S
0,3,male,0,0,0-8,C
1,2,female,1,2,21-40,S
0,3,male,5,2,41-80,S
0,3,male,0,0,0-8,C
1,1,female,0,0,81-500,S
0,1,male,1,0,81-500,S
0,3,male,3,2,21-40,S
0,1,male,0,0,21-40,C
1,3,male,1,1,9-20,C
1,2,female,0,0,9-20,S
0,3,male,0,0,9-20,S
1,3,female,4,2,0-8,S
0,3,male,2,0,9-20,S
0,2,male,0,0,9-20,S
0,3,female,5,2,41-80,S
0,2,male,0,0,41-80,S
0,3,male,1,0,9-20,C
1,3,male,0,0,41-80,S
0,3,male,0,0,0-8,S
0,3,male,0,0,0-8,S
0,3,male,0,0,9-20,S
1,2,male,0,2,21-40,S
1,3,female,0,0,9-20,S
0,3,male,0,0,9-20,S
1,3,male,0,0,9-20,S
1,3,female,0,0,0-8,Q
0,1,male,0,0,41-80,S
1,2,female,0,0,9-20,S
1,3,female,3,0,9-20,S
0,3,male,1,3,21-40,S
0,3,male,0,0,9-20,S
1,1,female,3,2,81-500,S
0,3,male,0,0,9-20,S
0,3,male,0,0,9-20,S
0,3,male,0,0,0-8,S
0,1,male,1,0,41-80,S
0,3,male,1,2,21-40,S
0,3,male,0,0,0-8,S
0,3,male,0,0,9-20,S
0,1,male,0,0,21-40,C
1,1,male,0,1,41-80,C
1,2,female,0,1,21-40,S
0,2,male,1,0,21-40,S
0,3,female,0,0,0-8,S
0,3,male,0,0,0-8,S
0,1,male,0,1,41-80,S
0,3,male,0,0,9-20,S
0,3,male,2,0,0-8,S
0,3,male,0,0,0-8,S
1,3,female,0,0,0-8,S
1,3,male,0,0,0-8,S
0,3,male,0,0,0-8,S
1,3,female,1,0,21-40,Q
0,1,male,0,0,41-80,S
0,3,female,1,0,9-20,C
0,3,male,0,0,9-20,S
0,3,female,1,0,9-20,S
0,3,female,0,0,9-20,C
0,3,male,0,0,0-8,S
0,3,male,0,0,0-8,Q
0,2,male,1,0,21-40,S
0,1,male,0,1,81-500,C
0,3,female,4,2,21-40,S
0,2,male,2,0,41-80,S
0,3,male,0,0,9-20,S
0,2,male,1,0,21-40,C
1,2,female,0,0,9-20,S
0,1,male,0,1,41-80,S
1,3,male,1,0,9-20,C
0,3,male,0,0,0-8,Q
1,3,male,0,0,0-8,S
1,3,female,1,1,21-40,C
0,3,male,0,0,0-8,S
0,3,male,0,0,0-8,C
0,3,male,0,0,0-8,S
0,3,female,1,0,9-20,S
1,2,female,1,0,21-40,S
0,2,male,0,0,9-20,S
0,2,male,0,0,9-20,C
1,1,female,0,2,21-40,S
0,1,male,1,0,41-80,S
0,3,male,0,0,9-20,S
0,1,male,0,0,41-80,C
0,3,female,0,2,9-20,C
1,3,female,0,0,0-8,S
1,3,female,1,0,9-20,S
0,3,male,0,0,0-8,Q
0,2,male,0,0,9-20,S
0,2,male,1,1,21-40,S
1,3,male,0,0,0-8,S
0,3,female,2,2,21-40,S
0,2,male,0,2,21-40,S
0,2,male,0,0,9-20,S
0,2,male,0,0,9-20,S
1,1,female,1,0,41-80,S
0,3,male,0,0,9-20,S
0,3,male,0,2,9-20,S
0,3,male,0,0,0-8,S
0,1,male,0,1,41-80,C
1,3,female,0,0,0-8,Q
0,3,male,0,0,9-20,S
0,3,male,0,0,9-20,S
0,3,male,8,2,41-80,S
0,3,male,0,1,9-20,S
1,2,female,0,0,9-20,S
0,3,male,0,0,0-8,S
0,3,male,0,0,9-20,S
0,3,male,4,1,21-40,S
1,3,male,0,2,21-40,S
1,1,female,0,1,41-80,S
0,3,female,1,4,21-40,S
0,1,male,0,0,21-40,S
0,3,male,0,0,41-80,S
0,1,male,0,0,21-40,S
0,3,male,4,1,21-40,Q
1,3,female,1,1,9-20,S
0,3,male,0,0,0-8,S
0,1,male,0,0,21-40,C
0,3,male,1,1,0-8,S
0,3,male,3,1,21-40,S
0,1,female,0,0,21-40,C
0,2,male,0,0,9-20,S
0,3,female,8,2,41-80,S
0,2,male,0,0,9-20,C
0,3,male,4,2,21-40,S
1,2,male,2,1,21-40,S
1,3,female,0,2,21-40,S
0,1,male,0,0,41-80,S
1,3,female,1,0,9-20,Q
1,1,male,0,0,21-40,S
0,3,male,1,1,9-20,Q
0,3,male,0,0,0-8,S
1,2,female,0,0,9-20,S
0,2,male,0,0,9-20,S
1,3,female,1,0,0-8,S
1,2,male,1,1,21-40,S
1,1,female,0,0,21-40,C
1,1,female,0,0,81-500,C
0,3,male,0,0,0-8,Q
0,3,male,0,1,9-20,S
1,3,female,0,0,0-8,Q
0,2,female,0,0,9-20,S
0,3,male,0,0,9-20,S
0,3,male,8,2,41-80,S
0,3,male,0,0,0-8,S
0,3,male,0,0,0-8,C
1,3,male,0,0,9-20,S
0,3,female,0,1,9-20,S
0,3,male,1,0,9-20,S
1,3,male,0,0,9-20,C
1,3,female,0,0,0-8,Q
1,1,male,0,0,21-40,C
0,3,male,0,0,0-8,S
1,2,female,0,0,21-40,S
0,3,male,0,0,0-8,S
0,2,male,0,0,9-20,S
0,3,male,1,0,0-8,Q
1,1,female,1,0,81-500,C
1,3,female,0,0,0-8,S
0,2,male,1,0,21-40,S
1,1,female,0,0,41-80,C
0,2,male,0,0,9-20,S
1,3,male,0,0,9-20,S
0,2,male,0,0,9-20,S
0,3,male,0,0,9-20,S
0,3,male,0,0,0-8,S
1,1,male,1,0,81-500,S
0,3,male,0,0,9-20,S
1,2,male,0,0,9-20,S
0,3,male,0,0,0-8,S
0,2,male,0,0,9-20,S
0,3,female,3,1,21-40,S
1,1,female,1,0,81-500,S
0,3,male,0,0,0-8,S
0,2,male,0,0,9-20,S
1,3,female,4,2,21-40,S
0,2,male,0,0,9-20,S
0,3,female,0,0,0-8,S
0,2,male,1,0,21-40,S
1,2,female,0,2,21-40,S
0,2,male,0,0,9-20,S
0,2,male,0,0,9-20,S
0,3,female,1,0,9-20,C
1,3,female,1,0,9-20,Q
0,2,male,0,0,9-20,S
0,3,male,0,0,0-8,S
0,3,male,0,0,0-8,C
0,1,male,2,0,81-500,Q
0,3,female,0,0,0-8,S
1,2,female,0,2,9-20,S
1,1,male,1,1,41-80,S
0,2,male,1,0,21-40,S
0,3,male,0,0,0-8,S
0,3,female,1,1,9-20,S
0,1,male,0,0,21-40,S
0,3,male,1,0,9-20,S
0,3,female,0,2,21-40,S
1,3,female,0,2,9-20,C
1,1,female,0,0,41-80,C
1,1,female,0,0,81-500,S
1,1,female,0,0,,C
1,2,female,0,1,21-40,S
0,3,male,0,0,0-8,Q
1,3,male,4,2,21-40,S
0,1,male,1,1,41-80,S
0,3,female,0,0,0-8,Q
0,2,male,0,0,9-20,S
0,3,male,4,1,21-40,S
1,3,male,1,0,0-8,S
1,1,female,0,1,81-500,S
1,1,female,0,0,81-500,S
0,1,male,0,0,21-40,S
1,2,female,0,1,9-20,S
0,1,male,0,1,21-40,C
1,3,female,0,0,0-8,Q
1,1,female,1,0,41-80,S
0,3,female,0,0,0-8,S
0,3,male,4,1,21-40,Q
1,3,female,1,1,21-40,S
0,3,male,0,0,0-8,Q
0,3,male,0,0,0-8,S
0,3,male,0,0,9-20,S
1,3,male,0,0,9-20,S
0,1,male,0,0,21-40,S
0,3,male,0,0,9-20,C
1,3,male,0,0,9-20,S
0,3,male,0,0,0-8,S
1,2,male,0,0,9-20,S
1,3,female,0,0,0-8,Q
1,1,female,0,0,41-80,S
1,1,female,1,0,81-500,C
0,2,male,0,0,9-20,C
0,3,female,0,0,9-20,S
0,3,male,0,0,0-8,S
0,1,male,0,0,21-40,C
0,3,male,0,0,0-8,C
0,1,female,1,2,81-500,S
1,1,male,0,0,21-40,S
1,1,female,0,1,81-500,C
1,3,female,0,0,0-8,Q
1,3,male,2,0,21-40,Q
1,2,female,0,0,9-20,Q
0,3,male,0,0,9-20,S
1,1,male,1,2,81-500,S
1,1,female,0,0,81-500,C
1,1,female,1,0,81-500,C
0,2,male,1,0,21-40,C
1,1,female,0,0,41-80,C
1,1,female,0,0,81-500,C
1,1,female,2,2,81-500,C
0,2,female,1,1,21-40,S
0,3,male,0,0,0-8,S
0,2,male,1,1,21-40,S
1,3,female,0,0,0-8,S
1,2,female,1,0,21-40,S
0,2,male,0,0,9-20,S
1,1,female,0,2,81-500,S
1,1,female,1,1,81-500,C
0,3,male,0,0,0-8,S
0,3,male,0,0,0-8,S
1,2,female,0,0,9-20,Q
1,2,female,1,1,21-40,S
0,3,male,8,2,41-80,S
1,1,female,0,0,81-500,C
0,3,male,0,0,0-8,S
1,2,female,0,0,9-20,S
1,3,female,1,1,21-40,S
1,1,female,0,1,41-80,C
1,3,female,2,0,21-40,Q
0,1,male,0,0,21-40,S
0,1,male,0,1,81-500,S
0,3,male,2,0,9-20,S
1,1,female,1,0,81-500,S
0,3,male,0,0,0-8,S
0,1,male,1,0,41-80,S
1,1,female,0,0,81-500,C
1,3,male,0,0,9-20,S
0,1,male,0,0,21-40,S
1,2,male,1,1,21-40,S
1,1,female,3,2,81-500,S
0,2,male,0,0,9-20,S
0,2,male,0,0,9-20,S
0,2,male,0,0,9-20,S
1,2,female,0,0,9-20,S
1,2,female,0,0,9-20,S
1,3,female,1,0,9-20,S
1,3,male,1,1,9-20,S
0,3,male,0,0,9-20,S
0,3,male,0,0,9-20,S
0,1,male,0,0,21-40,S
0,3,male,1,1,0-8,C
0,3,male,1,0,9-20,S
0,3,male,0,0,0-8,C
0,3,male,0,0,9-20,S
1,1,female,0,1,41-80,S
0,2,female,0,0,9-20,S
1,3,female,0,0,0-8,Q
1,3,female,0,0,0-8,Q
0,3,male,1,4,21-40,S
0,2,male,1,0,21-40,C
0,3,female,0,1,9-20,C
0,3,male,0,0,0-8,S
0,3,male,1,0,9-20,Q
0,3,male,0,0,0-8,S
1,1,female,1,0,41-80,C
1,3,female,0,0,0-8,C
1,3,female,0,0,0-8,Q
1,1,female,0,0,41-80,C
1,1,male,1,0,41-80,C
0,3,male,1,0,0-8,S
0,3,male,0,0,9-20,S
