,Rule,Support,Confidence,Diff,PclassDiff,SexDiff,Mean
0,"{'lhs': {'Survived': '0'}, 'rhs': {'Sex': 'male'}}",0.5182648401826484,0.8485981308411215,0.2070456194255963,,,0.36265522980412235
1,"{'lhs': {'Sex': 'male'}, 'rhs': {'Survived': '0'}}",0.5182648401826484,0.8078291814946619,0.1970985878873559,,0.1970985878873559,0.35768171403500215
2,"{'lhs': {'Pclass': '1', 'Sex': 'female'}, 'rhs': {'Survived': '1'}}",0.10388127853881278,0.9680851063829787,0.5788156999902847,0.22604688982246923,0.3235353433498034,0.34134848926454875
3,"{'lhs': {'Survived': '0', 'Parch': '0'}, 'rhs': {'Sex': 'male'}}",0.4452054794520548,0.9048723897911833,0.19748174122406414,,,0.32134361033805947
4,"{'lhs': {'Sex': 'male', 'Parch': '0'}, 'rhs': {'Survived': '0'}}",0.4452054794520548,0.8315565031982942,0.18148108841699706,,0.18148108841699706,0.31334328393452593
5,"{'lhs': {'Sex': 'female'}, 'rhs': {'Survived': '1'}}",0.2659817351598174,0.7420382165605095,0.3527688101678154,,0.3527688101678154,0.30937527266381637
6,"{'lhs': {'Sex': 'female', 'Parch': '0'}, 'rhs': {'Survived': '1'}}",0.17465753424657535,0.788659793814433,0.4387352085957301,,0.4387352085957301,0.30669637142115275
7,"{'lhs': {'Pclass': '2', 'Sex': 'female'}, 'rhs': {'Survived': '1'}}",0.07990867579908675,0.9210526315789473,0.5317832251862533,0.17901441501843784,0.43228858663512715,0.30584595049267005
8,"{'lhs': {'Pclass': '3', 'Sex': 'male'}, 'rhs': {'Survived': '0'}}",0.339041095890411,0.8658892128279884,0.2551586192206824,0.05806003133332649,0.10818900748917937,0.2970998575555467
9,"{'lhs': {'Survived': '0', 'SibSp': '0'}, 'rhs': {'Sex': 'male'}}",0.3961187214611872,0.9036458333333334,0.1970691048341765,,,0.29659391314768185
10,"{'lhs': {'Sex': 'female', 'SibSp': '0'}, 'rhs': {'Survived': '1'}}",0.15639269406392695,0.7873563218390804,0.43491112790990677,,0.43491112790990677,0.29565191098691684
11,"{'lhs': {'Survived': '1'}, 'rhs': {'Sex': 'female'}}",0.2659817351598174,0.6832844574780058,0.3248369688935309,,,0.2954093520266742
12,"{'lhs': {'Sex': 'male', 'SibSp': '0'}, 'rhs': {'Survived': '0'}}",0.3961187214611872,0.8281622911694511,0.1806074850986248,,0.1806074850986248,0.288363103279906
13,"{'lhs': {'Survived': '0', 'Embarked': 'S'}, 'rhs': {'Sex': 'male'}}",0.3995433789954338,0.847457627118644,0.1723387681646028,,,0.2859410735800183
14,"{'lhs': {'Sex': 'male', 'Embarked': 'S'}, 'rhs': {'Survived': '0'}}",0.3995433789954338,0.8215962441314554,0.16707960387788956,,0.16707960387788956,0.2833114914366617
15,"{'lhs': {'Survived': '0', 'Sex': 'male'}, 'rhs': {'Parch': '0'}}",0.4452054794520548,0.8590308370044053,0.10218152193591212,,0.05342336036889128,0.27369350069398346
16,"{'lhs': {'Survived': '1', 'Parch': '0'}, 'rhs': {'Sex': 'female'}}",0.17465753424657535,0.6594827586206896,0.36687340718780875,,,0.27076547071719204
17,"{'lhs': {'Survived': '1', 'Pclass': '2'}, 'rhs': {'Sex': 'female'}}",0.07990867579908675,0.8045977011494253,0.4461502125649504,0.12131324367141949,,0.26302944418201857
18,"{'lhs': {'Survived': '1', 'SibSp': '0'}, 'rhs': {'Sex': 'female'}}",0.15639269406392695,0.6555023923444976,0.3620791208436544,,,0.25923590745379066
19,"{'lhs': {'Sex': 'female', 'Embarked': 'S'}, 'rhs': {'Survived': '1'}}",0.16210045662100456,0.6926829268292682,0.347199567082834,,0.347199567082834,0.25465001185191927
20,"{'lhs': {'Survived': '0', 'Pclass': '3'}, 'rhs': {'Sex': 'male'}}",0.339041095890411,0.8048780487804879,0.1633255373649627,-0.0437200820606336,,0.25118331662768684
21,"{'lhs': {'Sex': 'female', 'Fare': '0-8'}, 'rhs': {'Survived': '1'}}",0.03767123287671233,0.6875,0.4618362831858407,,0.4618362831858407,0.2497537580312765
22,"{'lhs': {'Survived': '1', 'Embarked': 'S'}, 'rhs': {'Sex': 'female'}}",0.16210045662100456,0.6513761467889908,0.32649500574303203,,,0.2442977311820183
23,"{'lhs': {'Pclass': '3', 'Embarked': 'S'}, 'rhs': {'Survived': '0'}}",0.3230593607305936,0.8108882521489972,0.15637161189543136,0.15637161189543136,,0.23971548631301248
24,"{'lhs': {'Survived': '1', 'Fare': '0-8'}, 'rhs': {'Sex': 'female'}}",0.03767123287671233,0.6470588235294118,0.43466944299843835,,,0.23617033793757533
25,"{'lhs': {'Survived': '0', 'Sex': 'male'}, 'rhs': {'Pclass': '3'}}",0.339041095890411,0.6541850220264317,0.09824894896707093,,-0.03553460414179266,0.21864502242874095
26,"{'lhs': {'Survived': '0', 'Sex': 'female'}, 'rhs': {'Pclass': '3'}}",0.0821917808219178,0.8888888888888888,0.33295281582952807,,0.19916926272066449,0.20757229832572294
27,"{'lhs': {'Survived': '1', 'Pclass': '1'}, 'rhs': {'Sex': 'female'}}",0.10388127853881278,0.6691176470588235,0.3106701584743486,-0.01416681041918233,,0.2072757185065807
28,"{'lhs': {'Survived': '1', 'Fare': '9-20'}, 'rhs': {'Sex': 'female'}}",0.07077625570776255,0.6813186813186813,0.3382529878880244,,,0.20451462179789348
29,"{'lhs': {'Survived': '0', 'Pclass': '1'}, 'rhs': {'Sex': 'male'}}",0.0821917808219178,0.96,0.3184474885844748,0.11140186915887851,,0.2003196347031963
30,"{'lhs': {'Sex': 'female', 'Fare': '9-20'}, 'rhs': {'Survived': '1'}}",0.07077625570776255,0.6595744680851063,0.32745767976393847,,0.32745767976393847,0.19911696773585053
31,"{'lhs': {'Survived': '0', 'Pclass': '2'}, 'rhs': {'Sex': 'male'}}",0.09703196347031963,0.9340659340659341,0.2925134226504089,0.08546780322481262,,0.19477269306036427
32,"{'lhs': {'Pclass': '1', 'Embarked': 'S'}, 'rhs': {'Survived': '1'}}",0.0867579908675799,0.6129032258064516,0.2674198660600174,0.2674198660600174,,0.17708892846379864
33,"{'lhs': {'Sex': 'male', 'Fare': '9-20'}, 'rhs': {'Survived': '0'}}",0.1723744292237443,0.8388888888888889,0.17100567721005677,,0.17100567721005677,0.17169005321690053
34,"{'lhs': {'Survived': '0', 'Fare': '9-20'}, 'rhs': {'Sex': 'male'}}",0.1723744292237443,0.825136612021858,0.1682023054525149,,,0.1702883673381296
35,"{'lhs': {'Survived': '1', 'Pclass': '3'}, 'rhs': {'Sex': 'female'}}",0.0821917808219178,0.6101694915254238,0.2517220029409489,-0.07311496595258205,,0.16695689188143334
36,"{'lhs': {'Pclass': '2', 'Sex': 'male'}, 'rhs': {'Survived': '0'}}",0.09703196347031963,0.8333333333333334,0.2226027397260274,0.025504151838671496,0.32209737827715357,0.1598173515981735
37,"{'lhs': {'Survived': '0', 'Fare': '0-8'}, 'rhs': {'Sex': 'male'}}",0.182648401826484,0.9142857142857143,0.1266750948166877,,,0.15466174832158586
38,"{'lhs': {'Sex': 'male', 'Fare': '0-8'}, 'rhs': {'Survived': '0'}}",0.182648401826484,0.898876404494382,0.12454012130854131,,0.12454012130854131,0.15359426156751266
39,"{'lhs': {'Survived': '0', 'Pclass': '2'}, 'rhs': {'Embarked': 'S'}}",0.09360730593607305,0.9010989010989011,0.18077926639570474,0.12913628427647117,,0.13719328616588888
40,"{'lhs': {'Survived': '1', 'Sex': 'female'}, 'rhs': {'Pclass': '1'}}",0.10388127853881278,0.3905579399141631,0.1496903600054873,,-0.008269039557977642,0.12678581927215005
41,"{'lhs': {'Survived': '1', 'Pclass': '2'}, 'rhs': {'Embarked': 'S'}}",0.0867579908675799,0.8735632183908046,0.15324358368760826,0.2342670307075202,,0.12000078727759408
42,"{'lhs': {'Survived': '1', 'Sex': 'male'}, 'rhs': {'Pclass': '1'}}",0.05136986301369863,0.4166666666666667,0.17579908675799089,,0.017839687194525944,0.11358447488584475
43,"{'lhs': {'Pclass': '2', 'Embarked': 'S'}, 'rhs': {'Survived': '1'}}",0.0867579908675799,0.4810126582278481,0.13552929848141387,0.13552929848141387,,0.11114364467449689
44,"{'lhs': {'Survived': '0', 'Pclass': '2'}, 'rhs': {'Parch': '0'}}",0.091324200913242,0.8791208791208791,0.12227156405238593,0.07351340248536509,,0.10679788248281397
45,"{'lhs': {'Pclass': '3', 'Sex': 'female'}, 'rhs': {'Survived': '1'}}",0.0821917808219178,0.5,0.11073059360730592,-0.2420382165605095,0.257700205338809,0.09646118721461186
46,"{'lhs': {'Survived': '1', 'Sex': 'female'}, 'rhs': {'Pclass': '2'}}",0.07990867579908675,0.30042918454935624,0.09723283751739278,,0.04529721973997208,0.08857075665823977
